n,t(n),lgn,lgn*2.46164739e+08,sqrt(n),sqrt(n)*10243252.43256958,n,n*56216.28391798,nlgn,nlgn*3796.83164013,n^2,n^2*2.00457971,n^3,n^3*6.71247904e-05,lgn - n,sqrt(n) - c,n - c,nlgn - c,n^2 - c,n^3 - c,,,,,,,,,,,,,,,,,,
795,1363019,9.63481105,2371750747,28.19574436,288816127,795,44691945.71,7659.674785,29082495.58,632025,1266944.491,502459875,33727.51379,1363009.365,1362990.804,1362224,1355359.325,730994,501096856,,,,,,,,,,,,,,,,,,
874,1637784,9.77148947,2405396155,29.563491,302826301.1,874,49133032.14,8540.281796,32426012.14,763876,1531250.331,667627624,44814.36433,1637774.229,1637754.437,1636910,1629243.718,873908,665989840,,,,,,,,,,,,,,,,,,
961,1969881,9.908392621,2439096883,31,317540825.4,961,54023848.85,9521.965309,36153299.16,923521,1851271.458,887503681,59573.49857,1969871.092,1969850,1968920,1960359.035,1046360,885533800,,,,,,,,,,,,,,,,,,
1057,2370903,10.04575966,2472911805,32.51153641,333023874.4,1057,59420612.1,10618.36796,40316155.44,1117249,2239614.676,1180932193,79269.82593,2370892.954,2370870.488,2369846,2360284.632,1253654,1178561290,,,,,,,,,,,,,,,,,,
1162,2852592,10.18239435,2506546448,34.0881211,349173229.4,1162,65323321.91,11831.94224,44923892.66,1350244,2706671.726,1568983528,105317.6905,2852581.818,2852557.912,2851430,2840760.058,1502348,1566130936,,,,,,,,,,,,,,,,,,
1278,3433472,10.31967212,2540339394,35.74912586,366187320.4,1278,71844410.85,13188.54097,50074669.64,1633284,3274047.967,2087336952,140112.0554,3433461.68,3433436.251,3432194,3420283.459,1800188,2083903480,,,,,,,,,,,,,,,,,,
1405,4126341,10.45635442,2573985757,37.48332963,383951207.4,1405,78983878.9,14691.17795,55779929.27,1974025,3957090.462,2773505125,186170.9502,4126330.544,4126303.517,4124936,4111649.822,2152316,2769378784,,,,,,,,,,,,,,,,,,
1545,4974821,10.59339112,2607719360,39.30648801,402626278.9,1545,86854158.65,16366.78928,62141943.39,2387025,4784981.882,3687953625,247553.1141,4974810.407,4974781.694,4973276,4958454.211,2587796,3682978804,,,,,,,,,,,,,,,,,,
1699,6001458,10.73047014,2641463381,41.21892769,422215881.3,1699,95511466.38,18231.06876,69220298.7,2886601,5786421.795,4904335099,329202.4656,6001447.27,6001416.781,5999759,5983226.931,3114857,4898333641,,,,,,,,,,,,,,,,,,
1868,7229078,10.86727874,2675140835,43.22036557,442717114.8,1868,105012018.4,20300.07669,77075973.47,3489424,6994828.55,6518244032,437535.7644,7229067.133,7229034.78,7227210,7208777.923,3739654,6511014954,,,,,,,,,,,,,,,,,,
